note_id,athlete_id,date,note_type,note_text
CN000979,A0148,2024-11-07,strategy,Selection window should prioritize consistency.
CN000980,A0148,2022-07-01,psychological,Needs calmer start routine.
CN000981,A0148,2022-09-30,medical,Continue mobility focus and load management.
CN000982,A0148,2022-05-17,medical,Monitor lower limb tightness after speed sessions.
CN000983,A0148,2021-01-10,technical,Transition into upright posture is cleaner.
CN000984,A0148,2024-10-17,psychological,"Responds well to clear, direct cues."
CN000985,A0148,2021-05-07,selection,Needs one more strong result before final selection.
CN000986,A0149,2024-12-21,strategy,Selection window should prioritize consistency.
CN000987,A0149,2024-12-20,psychological,"Responds well to clear, direct cues."
CN000988,A0149,2023-03-18,strategy,Shift focus to primary event for next cycle.
CN000989,A0149,2022-01-24,selection,Needs one more strong result before final selection.
CN000990,A0149,2023-02-28,technical,Stride rhythm is more consistent.
CN000991,A0149,2020-09-19,technical,Transition into upright posture is cleaner.
CN000992,A0149,2020-03-26,technical,Transition into upright posture is cleaner.
CN000993,A0150,2022-06-11,medical,Monitor lower limb tightness after speed sessions.
CN000994,A0150,2023-01-09,medical,Monitor lower limb tightness after speed sessions.
CN000995,A0150,2023-06-23,selection,Tracking positively for regional team consideration.
CN000996,A0150,2021-11-10,technical,Transition into upright posture is cleaner.
CN000997,A0150,2021-04-14,selection,Showing enough consistency for relay pool consideration.
CN000998,A0150,2021-07-13,medical,Recovery plan followed well this week.
CN000999,A0150,2020-01-16,selection,Showing enough consistency for relay pool consideration.
CN001000,A0151,2020-12-03,medical,Monitor lower limb tightness after speed sessions.
CN001001,A0151,2023-12-24,technical,Drive phase improving.
CN001002,A0151,2022-02-27,strategy,Race modeling should emphasize controlled first half.
CN001003,A0151,2020-06-19,selection,Needs one more strong result before final selection.
CN001004,A0151,2023-12-19,strategy,Shift focus to primary event for next cycle.
CN001005,A0151,2023-07-27,psychological,Needs calmer start routine.
CN001006,A0151,2022-10-12,psychological,"Responds well to clear, direct cues."
CN001007,A0151,2022-07-08,medical,Recovery plan followed well this week.
CN001008,A0152,2022-06-02,psychological,Needs calmer start routine.
CN001009,A0152,2023-02-14,medical,Recovery plan followed well this week.
CN001010,A0152,2020-10-04,technical,Transition into upright posture is cleaner.
CN001011,A0152,2022-05-07,strategy,Taper response appears positive.
CN001012,A0152,2023-11-01,selection,Tracking positively for regional team consideration.
CN001013,A0152,2024-08-13,medical,Recovery plan followed well this week.
CN001014,A0153,2020-02-10,technical,Needs better bend running mechanics.
CN001015,A0153,2022-06-10,strategy,Selection window should prioritize consistency.
CN001016,A0153,2023-08-22,psychological,Maintains focus under race rehearsal.
CN001017,A0153,2023-02-26,medical,Recovery plan followed well this week.
CN001018,A0153,2021-02-14,selection,Needs one more strong result before final selection.
CN001019,A0153,2024-02-18,medical,Continue mobility focus and load management.
CN001020,A0153,2024-09-25,strategy,Taper response appears positive.
CN001021,A0154,2023-07-06,selection,Needs one more strong result before final selection.
CN001022,A0154,2020-03-09,technical,Needs better bend running mechanics.
CN001023,A0154,2020-06-19,technical,Drive phase improving.
CN001024,A0154,2023-05-09,medical,Continue mobility focus and load management.
CN001025,A0154,2021-07-19,psychological,"Responds well to clear, direct cues."
CN001026,A0154,2021-08-18,medical,Monitor lower limb tightness after speed sessions.
CN001027,A0155,2020-06-25,selection,Showing enough consistency for relay pool consideration.
CN001028,A0155,2022-10-26,medical,Monitor lower limb tightness after speed sessions.
CN001029,A0155,2020-04-17,medical,Monitor lower limb tightness after speed sessions.
CN001030,A0155,2021-04-07,strategy,Selection window should prioritize consistency.
CN001031,A0155,2023-05-26,medical,Recovery plan followed well this week.
CN001032,A0156,2021-12-05,medical,Recovery plan followed well this week.
CN001033,A0156,2023-01-07,selection,Showing enough consistency for relay pool consideration.
CN001034,A0156,2021-09-02,strategy,Selection window should prioritize consistency.
CN001035,A0156,2024-06-20,strategy,Shift focus to primary event for next cycle.
CN001036,A0156,2021-11-28,technical,Drive phase improving.
CN001037,A0156,2020-05-31,strategy,Shift focus to primary event for next cycle.
CN001038,A0156,2022-06-01,selection,Needs one more strong result before final selection.
CN001039,A0156,2024-12-03,medical,Monitor lower limb tightness after speed sessions.
CN001040,A0157,2022-01-16,selection,Showing enough consistency for relay pool consideration.
CN001041,A0157,2020-08-15,psychological,"Responds well to clear, direct cues."
CN001042,A0157,2020-11-04,strategy,Selection window should prioritize consistency.
CN001043,A0157,2022-12-11,medical,Monitor lower limb tightness after speed sessions.
CN001044,A0157,2020-06-12,psychological,Needs calmer start routine.
CN001045,A0157,2023-07-12,strategy,Taper response appears positive.
CN001046,A0157,2022-12-05,psychological,Confidence building ahead of competition window.
CN001047,A0158,2022-06-05,technical,Drive phase improving.
CN001048,A0158,2023-09-01,medical,Recovery plan followed well this week.
CN001049,A0158,2023-02-19,psychological,"Responds well to clear, direct cues."
CN001050,A0158,2021-07-16,psychological,Confidence building ahead of competition window.
CN001051,A0158,2021-03-25,strategy,Race modeling should emphasize controlled first half.
CN001052,A0158,2021-12-12,technical,Drive phase improving.
CN001053,A0158,2022-12-31,selection,Showing enough consistency for relay pool consideration.
CN001054,A0159,2020-10-17,medical,Monitor lower limb tightness after speed sessions.
CN001055,A0159,2022-08-27,selection,Tracking positively for regional team consideration.
CN001056,A0159,2021-03-28,strategy,Shift focus to primary event for next cycle.
CN001057,A0159,2020-06-02,selection,Tracking positively for regional team consideration.
CN001058,A0159,2021-09-17,selection,Showing enough consistency for relay pool consideration.
CN001059,A0159,2024-11-18,medical,No adverse response after return-to-run work.
CN001060,A0159,2020-10-11,technical,Drive phase improving.
CN001061,A0159,2022-09-01,medical,Monitor lower limb tightness after speed sessions.
CN001062,A0160,2021-09-28,medical,Recovery plan followed well this week.
CN001063,A0160,2021-07-19,medical,Monitor lower limb tightness after speed sessions.
CN001064,A0160,2022-07-31,strategy,Taper response appears positive.
CN001065,A0160,2024-02-17,psychological,Maintains focus under race rehearsal.
CN001066,A0160,2022-01-21,technical,Needs better bend running mechanics.
CN001067,A0160,2023-03-16,technical,Stride rhythm is more consistent.
CN001068,A0160,2023-02-04,technical,Transition into upright posture is cleaner.
CN001069,A0160,2024-09-04,selection,Tracking positively for regional team consideration.
CN001070,A0161,2021-09-02,medical,Monitor lower limb tightness after speed sessions.
CN001071,A0161,2021-03-28,technical,Needs better bend running mechanics.
CN001072,A0161,2023-03-15,selection,Needs one more strong result before final selection.
CN001073,A0161,2022-11-03,psychological,"Responds well to clear, direct cues."
CN001074,A0161,2020-03-20,technical,Stride rhythm is more consistent.
CN001075,A0162,2024-10-02,technical,Transition into upright posture is cleaner.
CN001076,A0162,2020-11-24,selection,Tracking positively for regional team consideration.
CN001077,A0162,2024-05-22,strategy,Selection window should prioritize consistency.
CN001078,A0162,2024-04-14,technical,Needs better bend running mechanics.
CN001079,A0162,2021-07-17,selection,Showing enough consistency for relay pool consideration.
CN001080,A0163,2021-02-24,medical,Recovery plan followed well this week.
CN001081,A0163,2024-06-04,strategy,Race modeling should emphasize controlled first half.
CN001082,A0163,2020-07-28,technical,Drive phase improving.
CN001083,A0163,2022-01-31,medical,No adverse response after return-to-run work.
CN001084,A0163,2023-03-09,technical,Drive phase improving.
CN001085,A0163,2021-03-22,psychological,Needs calmer start routine.
CN001086,A0163,2024-01-26,medical,Monitor lower limb tightness after speed sessions.
CN001087,A0163,2020-05-22,medical,Monitor lower limb tightness after speed sessions.
CN001088,A0164,2020-08-20,medical,Recovery plan followed well this week.
CN001089,A0164,2024-12-10,strategy,Taper response appears positive.
CN001090,A0164,2023-05-22,strategy,Selection window should prioritize consistency.
CN001091,A0164,2023-08-18,selection,Currently on reserve list for championship squad.
CN001092,A0164,2022-09-13,strategy,Selection window should prioritize consistency.
CN001093,A0164,2021-12-05,selection,Showing enough consistency for relay pool consideration.
CN001094,A0164,2023-06-21,technical,Drive phase improving.
CN001095,A0165,2022-03-09,medical,Continue mobility focus and load management.
CN001096,A0165,2022-03-12,selection,Needs one more strong result before final selection.
CN001097,A0165,2021-05-30,strategy,Taper response appears positive.
CN001098,A0165,2022-11-21,selection,Tracking positively for regional team consideration.
CN001099,A0165,2022-07-22,medical,Continue mobility focus and load management.
CN001100,A0166,2022-03-13,selection,Tracking positively for regional team consideration.
CN001101,A0166,2024-06-06,strategy,Taper response appears positive.
CN001102,A0166,2022-10-19,technical,Needs better bend running mechanics.
CN001103,A0166,2021-10-09,psychological,"Responds well to clear, direct cues."
CN001104,A0166,2024-03-29,technical,Stride rhythm is more consistent.
CN001105,A0167,2020-03-26,selection,Tracking positively for regional team consideration.
CN001106,A0167,2023-10-19,psychological,"Responds well to clear, direct cues."
CN001107,A0167,2022-01-15,strategy,Selection window should prioritize consistency.
CN001108,A0167,2023-01-21,selection,Tracking positively for regional team consideration.
CN001109,A0167,2021-09-29,technical,Drive phase improving.
CN001110,A0167,2024-02-25,medical,Monitor lower limb tightness after speed sessions.
CN001111,A0167,2022-09-20,psychological,"Responds well to clear, direct cues."
CN001112,A0167,2020-07-04,technical,Transition into upright posture is cleaner.
CN001113,A0168,2023-02-11,psychological,Confidence building ahead of competition window.
CN001114,A0168,2023-09-27,technical,Transition into upright posture is cleaner.
CN001115,A0168,2022-07-01,medical,Monitor lower limb tightness after speed sessions.
CN001116,A0168,2024-06-15,strategy,Selection window should prioritize consistency.
CN001117,A0168,2022-08-01,technical,Drive phase improving.
CN001118,A0169,2023-12-16,technical,Stride rhythm is more consistent.
CN001119,A0169,2023-08-05,medical,No adverse response after return-to-run work.
CN001120,A0169,2021-03-28,selection,Tracking positively for regional team consideration.
CN001121,A0169,2024-11-09,technical,Needs better bend running mechanics.
CN001122,A0169,2020-02-04,selection,Currently on reserve list for championship squad.
CN001123,A0169,2024-08-15,technical,Needs better bend running mechanics.
CN001124,A0170,2023-12-30,selection,Showing enough consistency for relay pool consideration.
CN001125,A0170,2020-01-02,medical,Monitor lower limb tightness after speed sessions.
CN001126,A0170,2020-06-23,psychological,Needs calmer start routine.
CN001127,A0170,2021-09-26,technical,Needs better bend running mechanics.
CN001128,A0170,2021-05-05,technical,Drive phase improving.
CN001129,A0171,2023-02-18,psychological,Maintains focus under race rehearsal.
CN001130,A0171,2024-01-01,psychological,Maintains focus under race rehearsal.
CN001131,A0171,2022-06-20,medical,Continue mobility focus and load management.
CN001132,A0171,2022-04-15,technical,Drive phase improving.
CN001133,A0171,2023-04-03,strategy,Taper response appears positive.
CN001134,A0171,2020-11-20,psychological,Maintains focus under race rehearsal.
CN001135,A0172,2024-03-24,psychological,Confidence building ahead of competition window.
CN001136,A0172,2024-10-14,psychological,Needs calmer start routine.
CN001137,A0172,2020-03-23,psychological,Confidence building ahead of competition window.
CN001138,A0172,2021-06-27,selection,Tracking positively for regional team consideration.
CN001139,A0172,2020-11-16,selection,Showing enough consistency for relay pool consideration.
CN001140,A0172,2021-02-03,technical,Transition into upright posture is cleaner.
CN001141,A0172,2021-06-09,strategy,Selection window should prioritize consistency.
CN001142,A0172,2020-03-15,technical,Stride rhythm is more consistent.
CN001143,A0173,2022-01-16,medical,Recovery plan followed well this week.
CN001144,A0173,2020-03-21,technical,Drive phase improving.
CN001145,A0173,2022-06-13,strategy,Taper response appears positive.
CN001146,A0173,2021-03-13,technical,Needs better bend running mechanics.
CN001147,A0173,2021-01-05,medical,Monitor lower limb tightness after speed sessions.
CN001148,A0173,2022-03-09,selection,Currently on reserve list for championship squad.
CN001149,A0173,2022-01-29,technical,Needs better bend running mechanics.
CN001150,A0173,2024-08-20,psychological,Needs calmer start routine.
CN001151,A0174,2022-09-30,strategy,Shift focus to primary event for next cycle.
CN001152,A0174,2020-03-18,medical,No adverse response after return-to-run work.
CN001153,A0174,2021-12-09,technical,Drive phase improving.
CN001154,A0174,2024-03-16,selection,Tracking positively for regional team consideration.
CN001155,A0174,2021-01-04,selection,Showing enough consistency for relay pool consideration.
CN001156,A0174,2021-05-16,medical,No adverse response after return-to-run work.
CN001157,A0174,2024-01-23,selection,Tracking positively for regional team consideration.
CN001158,A0174,2023-01-10,selection,Showing enough consistency for relay pool consideration.
CN001159,A0175,2023-11-29,technical,Transition into upright posture is cleaner.
CN001160,A0175,2024-12-19,psychological,Confidence building ahead of competition window.
CN001161,A0175,2022-05-24,psychological,Confidence building ahead of competition window.
CN001162,A0175,2024-08-18,selection,Needs one more strong result before final selection.
CN001163,A0175,2023-09-10,psychological,Confidence building ahead of competition window.
CN001164,A0175,2023-11-29,technical,Transition into upright posture is cleaner.
CN001165,A0175,2021-01-20,medical,Recovery plan followed well this week.
CN001166,A0176,2023-09-06,medical,Recovery plan followed well this week.
CN001167,A0176,2023-09-03,strategy,Selection window should prioritize consistency.
CN001168,A0176,2021-09-23,technical,Stride rhythm is more consistent.
CN001169,A0176,2024-12-03,medical,Recovery plan followed well this week.
CN001170,A0176,2020-02-17,psychological,"Responds well to clear, direct cues."
CN001171,A0176,2021-07-28,selection,Currently on reserve list for championship squad.
CN001172,A0177,2023-09-26,technical,Drive phase improving.
CN001173,A0177,2020-08-08,technical,Transition into upright posture is cleaner.
CN001174,A0177,2023-12-16,selection,Currently on reserve list for championship squad.
CN001175,A0177,2023-01-13,selection,Needs one more strong result before final selection.
CN001176,A0177,2022-03-18,selection,Needs one more strong result before final selection.
CN001177,A0177,2021-06-03,selection,Tracking positively for regional team consideration.
CN001178,A0177,2023-12-18,medical,Continue mobility focus and load management.
CN001179,A0177,2023-04-01,technical,Stride rhythm is more consistent.
CN001180,A0178,2020-06-22,strategy,Shift focus to primary event for next cycle.
CN001181,A0178,2020-02-28,medical,No adverse response after return-to-run work.
CN001182,A0178,2024-05-17,strategy,Shift focus to primary event for next cycle.
CN001183,A0178,2020-08-15,psychological,Needs calmer start routine.
CN001184,A0178,2024-11-19,technical,Transition into upright posture is cleaner.
CN001185,A0178,2022-01-19,strategy,Selection window should prioritize consistency.
CN001186,A0178,2024-11-02,strategy,Selection window should prioritize consistency.
CN001187,A0179,2023-02-15,strategy,Shift focus to primary event for next cycle.
CN001188,A0179,2020-11-12,strategy,Shift focus to primary event for next cycle.
CN001189,A0179,2024-02-06,selection,Showing enough consistency for relay pool consideration.
CN001190,A0179,2022-06-21,strategy,Selection window should prioritize consistency.
CN001191,A0179,2024-02-21,technical,Drive phase improving.
CN001192,A0179,2023-11-27,psychological,Confidence building ahead of competition window.
CN001193,A0180,2021-09-21,strategy,Selection window should prioritize consistency.
CN001194,A0180,2022-08-27,strategy,Shift focus to primary event for next cycle.
CN001195,A0180,2020-01-02,technical,Drive phase improving.
CN001196,A0180,2023-05-12,technical,Transition into upright posture is cleaner.
CN001197,A0180,2022-03-20,medical,No adverse response after return-to-run work.
CN001198,A0180,2022-11-24,medical,Continue mobility focus and load management.
CN001199,A0181,2021-06-17,selection,Showing enough consistency for relay pool consideration.
CN001200,A0181,2020-03-14,medical,Recovery plan followed well this week.
CN001201,A0181,2024-12-15,technical,Needs better bend running mechanics.
CN001202,A0181,2024-04-09,strategy,Selection window should prioritize consistency.
CN001203,A0181,2023-11-14,strategy,Shift focus to primary event for next cycle.
CN001204,A0181,2021-09-16,medical,Recovery plan followed well this week.
CN001205,A0181,2023-07-18,psychological,"Responds well to clear, direct cues."
CN001206,A0181,2020-10-15,strategy,Selection window should prioritize consistency.
CN001207,A0182,2021-11-19,technical,Stride rhythm is more consistent.
CN001208,A0182,2022-03-26,medical,No adverse response after return-to-run work.
CN001209,A0182,2024-06-19,selection,Showing enough consistency for relay pool consideration.
CN001210,A0182,2022-09-01,selection,Tracking positively for regional team consideration.
CN001211,A0182,2022-03-06,technical,Drive phase improving.
CN001212,A0183,2020-04-02,psychological,"Responds well to clear, direct cues."
CN001213,A0183,2023-01-29,medical,Monitor lower limb tightness after speed sessions.
CN001214,A0183,2023-11-29,technical,Needs better bend running mechanics.
CN001215,A0183,2020-08-13,medical,No adverse response after return-to-run work.
CN001216,A0183,2023-11-17,psychological,"Responds well to clear, direct cues."
CN001217,A0184,2021-06-25,medical,No adverse response after return-to-run work.
CN001218,A0184,2023-07-21,strategy,Race modeling should emphasize controlled first half.
CN001219,A0184,2024-03-25,medical,Recovery plan followed well this week.
CN001220,A0184,2024-11-16,psychological,Needs calmer start routine.
CN001221,A0184,2022-09-02,psychological,Needs calmer start routine.
CN001222,A0184,2024-10-21,strategy,Shift focus to primary event for next cycle.
CN001223,A0185,2020-03-24,psychological,Maintains focus under race rehearsal.
CN001224,A0185,2024-12-19,selection,Showing enough consistency for relay pool consideration.
CN001225,A0185,2023-10-02,medical,Continue mobility focus and load management.
CN001226,A0185,2023-04-26,technical,Drive phase improving.
CN001227,A0185,2023-06-15,strategy,Taper response appears positive.
CN001228,A0186,2022-01-20,strategy,Race modeling should emphasize controlled first half.
CN001229,A0186,2024-07-04,psychological,Maintains focus under race rehearsal.
CN001230,A0186,2024-12-14,technical,Drive phase improving.
CN001231,A0186,2020-08-27,medical,Monitor lower limb tightness after speed sessions.
CN001232,A0186,2024-06-18,medical,Recovery plan followed well this week.
CN001233,A0187,2021-04-17,selection,Currently on reserve list for championship squad.
CN001234,A0187,2023-01-19,medical,Continue mobility focus and load management.
CN001235,A0187,2022-12-31,technical,Needs better bend running mechanics.
CN001236,A0187,2021-03-15,technical,Transition into upright posture is cleaner.
CN001237,A0187,2024-05-25,medical,Monitor lower limb tightness after speed sessions.
CN001238,A0188,2021-10-12,selection,Tracking positively for regional team consideration.
CN001239,A0188,2023-01-03,psychological,Confidence building ahead of competition window.
CN001240,A0188,2022-03-07,selection,Showing enough consistency for relay pool consideration.
CN001241,A0188,2020-03-07,technical,Needs better bend running mechanics.
CN001242,A0188,2022-07-09,psychological,"Responds well to clear, direct cues."
CN001243,A0189,2024-08-20,technical,Stride rhythm is more consistent.
CN001244,A0189,2020-08-11,technical,Needs better bend running mechanics.
CN001245,A0189,2020-10-12,medical,Continue mobility focus and load management.
CN001246,A0189,2022-10-08,strategy,Taper response appears positive.
CN001247,A0189,2021-09-22,psychological,Needs calmer start routine.
CN001248,A0189,2021-08-05,technical,Needs better bend running mechanics.
CN001249,A0189,2023-08-25,strategy,Race modeling should emphasize controlled first half.
CN001250,A0189,2020-06-14,medical,Monitor lower limb tightness after speed sessions.
CN001251,A0190,2022-09-17,medical,Monitor lower limb tightness after speed sessions.
CN001252,A0190,2024-10-30,psychological,Needs calmer start routine.
CN001253,A0190,2021-07-05,psychological,Confidence building ahead of competition window.
CN001254,A0190,2020-05-14,medical,No adverse response after return-to-run work.
CN001255,A0190,2024-11-18,psychological,Needs calmer start routine.
CN001256,A0190,2024-03-25,technical,Stride rhythm is more consistent.
CN001257,A0190,2022-01-08,strategy,Shift focus to primary event for next cycle.
CN001258,A0191,2020-09-07,psychological,Maintains focus under race rehearsal.
CN001259,A0191,2021-07-24,technical,Stride rhythm is more consistent.
CN001260,A0191,2023-10-22,strategy,Selection window should prioritize consistency.
CN001261,A0191,2021-12-31,selection,Currently on reserve list for championship squad.
CN001262,A0191,2023-01-20,medical,No adverse response after return-to-run work.
CN001263,A0191,2020-05-29,selection,Currently on reserve list for championship squad.
CN001264,A0191,2023-07-20,selection,Showing enough consistency for relay pool consideration.
CN001265,A0192,2024-02-11,medical,No adverse response after return-to-run work.
CN001266,A0192,2021-02-10,strategy,Selection window should prioritize consistency.
CN001267,A0192,2021-09-04,strategy,Race modeling should emphasize controlled first half.
CN001268,A0192,2020-02-06,technical,Needs better bend running mechanics.
CN001269,A0192,2020-06-10,psychological,Confidence building ahead of competition window.
CN001270,A0192,2020-01-07,psychological,Maintains focus under race rehearsal.
CN001271,A0193,2024-01-14,technical,Transition into upright posture is cleaner.
CN001272,A0193,2024-04-25,technical,Needs better bend running mechanics.
CN001273,A0193,2020-07-22,psychological,Confidence building ahead of competition window.
CN001274,A0193,2023-10-17,psychological,Maintains focus under race rehearsal.
CN001275,A0193,2022-05-28,strategy,Selection window should prioritize consistency.
CN001276,A0193,2023-08-23,psychological,Maintains focus under race rehearsal.
CN001277,A0193,2020-06-14,strategy,Selection window should prioritize consistency.
CN001278,A0194,2020-01-30,strategy,Race modeling should emphasize controlled first half.
CN001279,A0194,2023-01-25,selection,Showing enough consistency for relay pool consideration.
CN001280,A0194,2022-09-08,medical,No adverse response after return-to-run work.
CN001281,A0194,2020-12-18,selection,Tracking positively for regional team consideration.
CN001282,A0194,2024-12-12,psychological,Needs calmer start routine.
CN001283,A0194,2020-11-11,selection,Tracking positively for regional team consideration.
CN001284,A0194,2021-05-31,strategy,Selection window should prioritize consistency.
CN001285,A0194,2022-05-31,psychological,Confidence building ahead of competition window.
CN001286,A0195,2021-12-19,strategy,Shift focus to primary event for next cycle.
CN001287,A0195,2021-09-03,strategy,Shift focus to primary event for next cycle.
CN001288,A0195,2022-12-29,selection,Currently on reserve list for championship squad.
CN001289,A0195,2023-02-20,strategy,Selection window should prioritize consistency.
CN001290,A0195,2022-09-05,psychological,Maintains focus under race rehearsal.
CN001291,A0195,2022-12-17,medical,No adverse response after return-to-run work.
CN001292,A0196,2024-04-07,technical,Stride rhythm is more consistent.
CN001293,A0196,2021-10-21,strategy,Selection window should prioritize consistency.
CN001294,A0196,2020-05-02,selection,Tracking positively for regional team consideration.
CN001295,A0196,2023-03-28,selection,Currently on reserve list for championship squad.
CN001296,A0196,2024-08-10,technical,Stride rhythm is more consistent.
CN001297,A0196,2023-01-01,selection,Tracking positively for regional team consideration.
CN001298,A0196,2020-04-25,technical,Drive phase improving.
CN001299,A0196,2021-12-05,medical,Continue mobility focus and load management.
CN001300,A0197,2023-03-12,medical,Monitor lower limb tightness after speed sessions.
CN001301,A0197,2022-11-15,medical,No adverse response after return-to-run work.
CN001302,A0197,2022-06-21,medical,Continue mobility focus and load management.
CN001303,A0197,2021-10-31,strategy,Taper response appears positive.
CN001304,A0197,2024-04-29,psychological,Maintains focus under race rehearsal.
CN001305,A0198,2024-12-08,selection,Needs one more strong result before final selection.
CN001306,A0198,2024-05-07,medical,Recovery plan followed well this week.
CN001307,A0198,2021-08-13,strategy,Shift focus to primary event for next cycle.
CN001308,A0198,2024-03-23,strategy,Race modeling should emphasize controlled first half.
CN001309,A0198,2020-05-23,strategy,Selection window should prioritize consistency.
CN001310,A0199,2024-11-11,technical,Transition into upright posture is cleaner.
CN001311,A0199,2021-12-03,medical,Continue mobility focus and load management.
CN001312,A0199,2020-06-26,selection,Currently on reserve list for championship squad.
CN001313,A0199,2021-08-14,medical,Monitor lower limb tightness after speed sessions.
CN001314,A0199,2023-10-06,technical,Needs better bend running mechanics.
CN001315,A0199,2024-07-16,selection,Showing enough consistency for relay pool consideration.
CN001316,A0199,2023-03-26,technical,Stride rhythm is more consistent.
CN001317,A0200,2023-10-28,technical,Stride rhythm is more consistent.
CN001318,A0200,2022-02-15,medical,Monitor lower limb tightness after speed sessions.
CN001319,A0200,2020-03-04,technical,Stride rhythm is more consistent.
CN001320,A0200,2023-03-30,selection,Showing enough consistency for relay pool consideration.
CN001321,A0200,2020-02-22,technical,Transition into upright posture is cleaner.
CN001322,A0200,2021-07-20,technical,Stride rhythm is more consistent.
CN001323,A0201,2024-09-28,medical,No adverse response after return-to-run work.
CN001324,A0201,2021-07-20,psychological,"Responds well to clear, direct cues."
CN001325,A0201,2023-10-23,technical,Stride rhythm is more consistent.
CN001326,A0201,2024-02-25,psychological,Confidence building ahead of competition window.
CN001327,A0201,2020-12-25,selection,Tracking positively for regional team consideration.
CN001328,A0201,2022-10-16,psychological,"Responds well to clear, direct cues."
CN001329,A0202,2024-01-15,technical,Needs better bend running mechanics.
CN001330,A0202,2023-01-23,selection,Tracking positively for regional team consideration.
CN001331,A0202,2020-06-19,selection,Currently on reserve list for championship squad.
CN001332,A0202,2020-01-08,technical,Needs better bend running mechanics.
CN001333,A0202,2020-05-08,medical,Monitor lower limb tightness after speed sessions.
CN001334,A0203,2023-07-09,selection,Tracking positively for regional team consideration.
CN001335,A0203,2020-03-21,psychological,Confidence building ahead of competition window.
CN001336,A0203,2021-12-27,strategy,Race modeling should emphasize controlled first half.
CN001337,A0203,2024-03-28,technical,Stride rhythm is more consistent.
CN001338,A0203,2024-09-09,technical,Drive phase improving.
CN001339,A0203,2022-04-12,technical,Stride rhythm is more consistent.
CN001340,A0204,2023-08-12,medical,No adverse response after return-to-run work.
CN001341,A0204,2020-05-20,technical,Needs better bend running mechanics.
CN001342,A0204,2020-06-26,psychological,Maintains focus under race rehearsal.
CN001343,A0204,2024-05-29,medical,Continue mobility focus and load management.
CN001344,A0204,2023-09-08,strategy,Taper response appears positive.
CN001345,A0204,2024-05-24,psychological,Maintains focus under race rehearsal.
CN001346,A0205,2024-01-20,medical,Recovery plan followed well this week.
CN001347,A0205,2022-11-28,selection,Showing enough consistency for relay pool consideration.
CN001348,A0205,2020-06-05,medical,Monitor lower limb tightness after speed sessions.
CN001349,A0205,2020-02-19,strategy,Race modeling should emphasize controlled first half.
CN001350,A0205,2024-04-02,technical,Transition into upright posture is cleaner.
CN001351,A0205,2020-10-12,selection,Needs one more strong result before final selection.
CN001352,A0206,2020-09-11,selection,Tracking positively for regional team consideration.
CN001353,A0206,2022-08-13,strategy,Taper response appears positive.
CN001354,A0206,2020-03-27,selection,Showing enough consistency for relay pool consideration.
CN001355,A0206,2021-12-22,strategy,Race modeling should emphasize controlled first half.
CN001356,A0206,2023-03-05,strategy,Shift focus to primary event for next cycle.
CN001357,A0207,2022-03-21,medical,Continue mobility focus and load management.
CN001358,A0207,2020-02-17,selection,Currently on reserve list for championship squad.
CN001359,A0207,2022-11-09,medical,Recovery plan followed well this week.
CN001360,A0207,2023-08-12,strategy,Taper response appears positive.
CN001361,A0207,2023-06-18,technical,Needs better bend running mechanics.
CN001362,A0208,2020-07-11,psychological,Confidence building ahead of competition window.
CN001363,A0208,2024-08-08,strategy,Selection window should prioritize consistency.
CN001364,A0208,2022-08-14,medical,Recovery plan followed well this week.
CN001365,A0208,2023-10-02,strategy,Shift focus to primary event for next cycle.
CN001366,A0208,2023-09-20,medical,Continue mobility focus and load management.
CN001367,A0208,2023-06-02,selection,Currently on reserve list for championship squad.
CN001368,A0208,2021-11-14,psychological,Confidence building ahead of competition window.
CN001369,A0208,2024-11-14,selection,Tracking positively for regional team consideration.
CN001370,A0209,2024-04-30,selection,Needs one more strong result before final selection.
CN001371,A0209,2024-09-17,selection,Showing enough consistency for relay pool consideration.
CN001372,A0209,2024-01-21,psychological,Needs calmer start routine.
CN001373,A0209,2020-09-23,technical,Drive phase improving.
CN001374,A0209,2024-01-22,medical,No adverse response after return-to-run work.
CN001375,A0209,2021-11-07,psychological,Maintains focus under race rehearsal.
CN001376,A0209,2022-11-15,technical,Needs better bend running mechanics.
CN001377,A0210,2020-06-24,selection,Showing enough consistency for relay pool consideration.
CN001378,A0210,2021-12-27,selection,Tracking positively for regional team consideration.
CN001379,A0210,2024-09-22,technical,Transition into upright posture is cleaner.
CN001380,A0210,2021-02-17,technical,Drive phase improving.
CN001381,A0210,2022-03-10,medical,Continue mobility focus and load management.
CN001382,A0211,2023-03-10,technical,Stride rhythm is more consistent.
CN001383,A0211,2022-11-20,selection,Tracking positively for regional team consideration.
CN001384,A0211,2021-07-22,technical,Drive phase improving.
CN001385,A0211,2020-05-30,selection,Needs one more strong result before final selection.
CN001386,A0211,2022-07-10,strategy,Race modeling should emphasize controlled first half.
CN001387,A0211,2022-01-05,strategy,Selection window should prioritize consistency.
CN001388,A0212,2023-12-11,strategy,Selection window should prioritize consistency.
CN001389,A0212,2021-04-11,strategy,Shift focus to primary event for next cycle.
CN001390,A0212,2022-08-31,strategy,Shift focus to primary event for next cycle.
CN001391,A0212,2021-08-20,technical,Needs better bend running mechanics.
CN001392,A0212,2023-11-28,medical,No adverse response after return-to-run work.
CN001393,A0212,2023-03-25,technical,Stride rhythm is more consistent.
